stream,architecture,seed,n_post_warmup,incumbent_mean_brier,candidate_mean_brier,mean_brier_gap,promotion_time,final_log_evidence
Phishing,16-8,14,650,0.18048579396583964,0.14058179958413664,0.03990399438170298,270,21.655005292720528
Phishing,16-8,15,650,0.19106430194535248,0.14664511687148896,0.0444191850738635,267,24.506385509767167
Phishing,16-8,16,650,0.17908977640749885,0.1336225463888637,0.045467230018635126,240,24.082971117550507
Phishing,16-8,17,650,0.1777886851555217,0.1284359228723991,0.04935276228312262,266,27.140019911735656
Phishing,16-8,18,650,0.21836979230453082,0.1953251428772833,0.0230446494272475,379,12.20386568376745
Phishing,16-8,19,650,0.22708624425089458,0.1898112052003014,0.03727503905059321,265,19.71881196792096
Bananas,8,0,4700,0.2476640788730704,0.2324913695880732,0.015172709284997268,830,54.24745045011743
Bananas,8,1,4700,0.27600863894948907,0.22403272500348667,0.0519759139460024,357,167.45620878720186
Bananas,8,2,4700,0.24620400499675987,0.24093245509985844,0.005271549896901434,1909,19.543762149713384
Bananas,8,3,4700,0.2766457266962116,0.23850322841374,0.03814249828247166,309,113.36882395228093
Bananas,8,4,4700,0.25281979193921184,0.23844383297907468,0.014375958960137195,1113,51.646202465847196
Bananas,8,5,4700,0.24439743217040283,0.22388326268430483,0.020514169486097935,693,79.69559837821986
Bananas,8,6,4700,0.26643389831210834,0.24303197558237105,0.023401922729737252,582,75.36008588159856
Bananas,8,7,4700,0.23993049834872654,0.23079246948907295,0.009138028859653622,1779,37.13181138678797
Bananas,8,8,4700,0.26398990030870917,0.24285858427472026,0.0211313160339889,510,66.37295913802473
Bananas,8,9,4700,0.2933786036982037,0.24481643361976674,0.04856217007843685,256,134.97737036131926
Bananas,8,10,4700,0.2590496969446932,0.23771765306734097,0.021332043877352286,381,64.74581644668989
Bananas,8,11,4700,0.24033295195034818,0.2293583953119608,0.01097455663838731,1039,45.59483849910674
Bananas,8,12,4700,0.25504834319406555,0.239466579044895,0.015581764149170483,911,61.31910404722576
Bananas,8,13,4700,0.23433603821209967,0.21717631725641584,0.017159720955683803,980,62.010147388556014
Bananas,8,14,4700,0.25100095005111683,0.23722254639687368,0.013778403654243177,934,47.129286166665324
Bananas,8,15,4700,0.2450997786098621,0.23322881602316664,0.011870962586695509,1128,48.205841548551064
Bananas,8,16,4700,0.24093316936606418,0.22622288376216151,0.014710285603902617,980,52.09124701731692
Bananas,8,17,4700,0.2350173057255363,0.2203235867612418,0.014693718964294493,1003,52.79965322492529
Bananas,8,18,4700,0.2519029921196385,0.23228701070626687,0.019615981413371664,772,76.9512285297486
Bananas,8,19,4700,0.24767594615961716,0.2275364670846871,0.020139479074930036,763,74.60856155227292
Bananas,16,0,4700,0.2500487823462073,0.22730338763830749,0.02274539470789983,852,85.30580309080635
Bananas,16,1,4700,0.25431420936058763,0.23272441243528583,0.021589796925301805,787,80.11650388353928
Bananas,16,2,4700,0.24145498939299848,0.22679782179253088,0.01465716760046752,1153,60.21634009841378
Bananas,16,3,4700,0.24659313749587639,0.23505705898256363,0.011536078513312727,1172,45.98987059337056
